tagno,relative,age,sex,Illness,employment,salary,modeofpayment,Air quality,,,,
2019-PAL2-6-0070-02,4,1,2,,,,,34,,,,
2019-PAL3-2-0058,1,44,1,,2,,,34,,,,
2019-PAL3-2-0058,4,2,2,,,,,34,,,,
2019-PAL4-6-0002-02,1,30,2,,1,4500,22,34,,,,
2019-PAN-6-0032-02,5,19,1,,2,,,34,,,,
2019-PAN-6-0032-02,4,21,2,,2,,,34,,,,
2019-PAN-6-0032-02,2,47,1,,1,14000,51,34,,,,
2019-WC-4-0056-03,2,42,1,,2,,,34,,,,
2019-WC-4-0056-03,4,1,2,,,,,34,,,,
2019-WC-4-0056-03,4,11,2,,,,,34,,,,
2019-WC-4-0056-03,5,6,1,,,,,34,,,,
2019-PAL-6-0225,5,20,1,,,,,34,,,,
2019-PAL-6-0225,5,12,1,,,,,34,,,,
2019-PAL-6-0225,5,18,1,,1,4000,51,34,,,,
2019-PAL-6-0225-03,5,11,1,,,,,34,,,,
2019-PAL-6-0450,6,15,1,,2,,,34,,,,
2019-PAL-6-0450,17,52,1,,2,,,34,,,,
2019-PAL-6-0225,2,52,1,,1,7000,5,34,,,,
2019-PAL-6-0225,4,17,2,,2,,,34,,,,
2019-G2-3-0013-04,4,17,2,,2,,,34,,,,
2019-G2-3-0013-04,1,34,2,,1,3000,26,34,,,,
2019-PAL-6-0121,2,57,2,,1,3000,22,34,,,,
2019-G2-3-0284,1,67,2,,,,,34,,,,
2019-PAL-1-0140-04,5,17,1,,2,,,34,,,,
2019-PAL-3-0031-03,2,32,1,,1,16000,51,34,,,,
2019-PAL-3-0031-03,4,7,2,,,,,34,,,,
2019-PAL-3-0031-03,4,9,2,,,,,34,,,,
2019-WC-3-0099,2,39,1,,1,50000,26,34,,,,
2019-WC-3-0099,5,7,1,,,,,34,,,,
2019-WC-3-0099,4,12,2,,,,,34,,,,
2019-WC-3-0113-04,1,39,2,,1,7000,5,34,,,,
2019-WC-3-0113-04,4,16,2,,2,,,34,,,,
2019-G2-3-0162-02,1,44,2,,1,9000,22,34,,,,
2019-UW-6-0160,2,41,2,,1,12000,5,34,,,,
2019-PAL5-5-0015,5,14,1,,,,,34,,,,
2019-G2-3-0267-02,4,26,2,,2,,,34,,,,
2019-G2-3-0267-02,2,59,1,,1,12000,51,34,,,,
2019-WC-4-0303,5,26,1,,1,18000,5,34,,,,
2019-ISG-6-0023-02,1,27,2,,1,9000,26,34,,,,
2019-PAL-6-0462-03,1,41,2,,1,15000,23,34,,,,
2019-ISG-6-0060-02,5,0,1,,,,,34,,,,
2019-ISG-6-0060-02,4,2,2,,,,,34,,,,
2019-ISG-6-0060-02,2,32,1,,1,20000,5,34,,,,
2019-ISU-1-0289-02,4,3,2,,,,,34,,,,
2019-ISU-1-0289-02,2,38,1,,1,18000,5,34,,,,
2019-UW-6-0114-02,2,47,1,,1,12000,22,34,,,,
2019-ISU-1-0427-03,1,44,1,,,,,34,,,,
2019-ISU-1-0427-03,4,0,2,,2,,,34,,,,
2019-ISU-1-0427-03,4,16,2,,2,,,34,,,,
2019-ISU-1-0138,1,47,2,,1,12000,5,34,,,,
2019-PAL-6-0479-02,1,30,2,,1,8400,22,34,,,,
2019-G2-3-0346,1,57,2,,1,2000,26,34,,,,
2019-PAL4-6-0005-02,1,40,2,,1,20000,22,34,,,,
2019-PAL6-2-0016-02,1,32,2,,1,7000,22,34,,,,
2019-PAL6-2-0016-02,12,26,1,,1,20000,5,34,,,,
2019-WC-4-0518,8,24,1,,,,,34,,,,
2019-PAL2-3-0055,5,31,1,,2,,,34,,,,
2019-PAL2-3-0055,5,15,1,,3,,,34,,,,
2019-WC-4-0006,1,52,2,,2,,,34,,,,
2019-ISU-1-0413-02,4,8,2,,,,,34,,,,
2019-WC-4-0106,4,22,2,,1,10000,11,34,,,,
2019-WC-3-0058-03,5,29,1,,1,20000,5,34,,,,
2019-WC-3-0058-03,5,27,1,,1,9000,51,34,,,,
2019-WC-3-0058-03,5,25,1,,2,,,34,,,,
2019-WC-3-0058-03,4,19,2,,2,,,34,,,,
2019-PAL3-3-0010-03,5,3,1,,,,,34,,,,
2019-PAL3-3-0010-03,2,31,1,,1,24000,5,34,,,,
2019-PAL-3-0073-03,5,16,1,,2,,,34,,,,
2019-PAL-3-0073-03,2,41,2,,1,720,22,34,,,,
2019-WC-3-0073-02,5,2,1,,,,,34,,,,
2019-WC-3-0073-02,2,29,1,,1,12000,22,34,,,,
2019-WC-4-0139-02,1,32,1,,,,,34,,,,
2019-WC-4-0139-02,5,9,1,,,,,34,,,,
2019-PAL4-3-0032,5,23,1,,2,,,34,,,,
2019-PAL4-3-0032,4,25,2,,1,15000,5,34,,,,
2019-PAL4-3-0032,5,26,1,,1,18000,5,34,,,,
2019-ISU-1-0086,1,24,2,,1,20000,5,34,,,,
2019-UW-6-0144,5,23,1,,1,14000,5,34,,,,
2019-UW-6-0144,5,30,1,,1,7000,51,34,,,,
2019-UW-6-0144,2,59,1,,3,,,34,,,,
2019-WC-6-0030,1,67,2,,1,3500,11,34,,,,
2019-WC-3-0094,3,56,2,,1,2000,5,34,,,,
2019-WC-3-0094,2,39,1,,1,80000,11,34,,,,
2019-WC-3-0094,4,14,2,,,,,34,,,,
2019-WC-3-0094,6,20,2,,2,,,34,,,,
2019-PAL-6-0245,5,19,1,,2,,,34,,,,
2019-PAL-6-0245,5,18,1,,2,,,34,,,,
2019-PAL-6-0245,2,46,1,,1,7000,22,34,,,,
2019-UW-6-0222,2,67,2,,3,,,34,,,,
2019-PAL-6-0245,4,25,2,,2,,,34,,,,
2019-PAL2-6-0060-02,2,34,1,,1,15000,51,34,,,,
2019-PAL2-6-0060-02,4,7,2,,,,,34,,,,
2019-PAL2-6-0060-02,4,9,2,,,,,34,,,,
2019-PAL2-6-0060-02,5,6,1,,,,,34,,,,
2019-PAL2-6-0060-02,4,0,2,,,,,34,,,,
2019-PAL-5-0093-05,1,29,2,,2,,,34,,,,
2019-UW-6-0105-02,1,21,2,,2,,,34,,,,
2019-PAL-3-0095-03,1,34,2,,2,,,34,,,,
2019-ISG-6-0100-02,1,46,2,,1,7200,22,34,,,,
2019-PAL-5-0093-04,1,32,2,,,,,34,,,,
2019-PAL-6-0133-02,1,27,2,,1,15000,22,34,,,,
2019-PAL-6-0152-06,4,2,2,,1,18000,22,34,,,,
2019-PAL-6-0152-06,2,30,1,,2,,,34,,,,
2019-PAL-6-0152-07,2,29,1,,2,,,34,,,,
2019-PAL-6-0152-07,5,3,1,,,,,34,,,,
2019-PAL-6-0152-07,4,2,2,,,,,34,,,,
2019-PAL-6-0203-03,1,46,2,,1,10000,51,34,,,,
2019-PAL3-3-0150-04,5,4,1,,1,20000,22,34,,,,
2019-PAL3-3-0150-04,2,38,1,,,,,34,,,,
2019-WC-6-0039-08,5,6,1,,,,,34,,,,
2019-UW-1-0390,6,5,1,,2,,,34,,,,
2019-G2-3-0004-02,1,39,2,,2,,,34,,,,
2019-G2-3-0391-02,2,36,1,,1,29000,5,34,,,,
2019-UW-6-0020-02,2,32,1,,1,20000,5,34,,,,
2019-UW-6-0020-02,4,2,2,,,,,34,,,,
2019-UW-6-0020-02,3,31,2,,1,15000,22,34,,,,
2019-UW-6-0098,4,14,2,,,,,34,,,,
2019-G2-3-0612,1,47,2,,1,25000,26,34,,,,
2019-PAL-6-0582,2,50,1,,2,,,34,,,,
2019-PAL-6-0582,5,17,1,,1,6000,5,34,,,,
2019-PAL-6-0582,4,12,2,,1,12000,5,34,,,,
2019-PAL-6-0582,4,15,2,,2,,,34,,,,
2019-PAL2-1-0004-03,1,37,2,,,,,34,,,,
2019-UW-6-0098,2,41,1,,1,51000,5,34,,,,
2019-UW-6-0098,4,15,2,,2,,,34,,,,
2019-UW-6-0098,5,19,1,,2,,,34,,,,
2019-UW-6-0098,5,11,1,,,,,34,,,,
2019-UW-6-0098,4,7,2,,,,,34,,,,
2019-PAL2-6-0101,4,7,2,,,,,34,,,,
2019-PAL2-6-0101,4,11,2,,,,,34,,,,
2019-PAL2-6-0101,2,33,1,,1,30000,5,34,,,,
2019-PAL-3-0014-04,2,20,1,,1,6000,26,34,,,,
2019-PAL-3-0014-04,4,0,2,,,,,34,,,,
2019-PAL-3-0014-07,1,28,2,,1,2000,23,34,,,,
2019-ISG-6-0087,1,34,2,,2,,,34,,,,
2019-ISG-6-0087,12,23,1,,1,18000,5,34,,,,
2019-WC-4-0040,1,31,2,,2,,45,34,,,,
2019-UW-6-0055-02,2,55,1,,1,10000,26,34,,,,
2019-UW-6-0055-02,4,2,2,,,,,34,,,,
2019-UW-6-0055-02,4,17,2,,2,,,34,,,,
2019-UW-6-0055-02,4,14,2,,,,,34,,,,
2019-PAL2-6-0095,1,37,2,,1,25000,5,34,,,,
2019-ISG-6-0086-02,2,22,1,,3,,,34,,,,
2019-UW-1-0359-02,4,1,2,,,,,34,,,,
2019-UW-1-0359-02,1,22,1,,3,,,34,,,,
2019-ISG-6-0086,5,25,1,,1,18000,5,34,,,,
2019-ISG-6-0086,2,55,1,,2,,,34,,,,
2019-ISG-6-0086,4,23,2,,1,25000,5,34,,,,
2019-ISG-6-0086-02,4,1,2,,,,,34,,,,
2019-ISG-6-0086-03,2,27,2,,1,18000,5,34,,,,
2019-PAL5-2-0005-02,5,0,1,,1,12000,5,34,,,,
2019-PAL-6-0099-03,6,5,2,,,,,34,,,,
2019-PAL-6-0099-03,1,52,2,,1,6000,5,34,,,,
2019-ISU-1-0019,5,17,1,,2,,,34,,,,
2019-ISU-1-0019,5,20,1,,2,,,34,,,,
2019-PAL-1-0254,5,19,1,,2,,,34,,,,
2019-PAL-1-0254,2,64,1,,3,,,34,,,,
2019-PAL-1-0254-02,2,33,1,,1,12000,5,34,,,,
2019-PAL3-6-0040,4,42,2,,2,,,34,,,,
2019-G2-3-0596-02,5,1,1,,,,,34,,,,
2019-G2-3-0596-02,5,9,1,,,,,34,,,,
2019-G2-3-0596-02,5,7,1,,,,,34,,,,
2019-G2-3-0596-02,2,28,1,,1,14000,5,34,,,,
2019-PAL-6-0187-08,1,41,1,,1,12800,5,34,,,,
2019-PAL-6-0187-08,5,1,1,,,,,34,,,,
2019-PAL-6-0586,4,35,2,,1,12000,51,34,,,,
2019-UW-6-0218,6,5,1,,,,,34,,,,
2019-WC-6-0020-02,2,26,1,,1,8000,22,34,,,,
2019-WC-6-0020-02,5,8,1,,,,,34,,,,
2019-WC-6-0020-02,4,5,2,,,,,34,,,,
2019-WC-6-0020-02,5,4,1,,,,,34,,,,
2019-WC-3-0034-02,8,47,2,,2,,,34,,,,
2019-ISG-6-0015,5,30,1,,2,,,34,,,,
2019-ISG-6-0015,5,16,1,,2,,,34,,,,
2019-ISG-6-0015,2,66,1,,1,15000,22,34,,,,
2019-ISG-6-0015-02,2,27,2,,1,12000,5,34,,,,
2019-ISG-6-0015-03,2,28,2,,2,,,34,,,,
2019-WC-4-0273-04,4,14,2,,,,,34,,,,
2019-WC-4-0273-04,4,12,2,,,,,34,,,,
2019-ISG-1-0008-02,5,9,1,,,,,34,,,,
2019-ISG-1-0008-02,1,40,1,,1,15000,5,34,,,,
2019-PAN-2-0018,2,53,1,,,,,34,,,,
2019-PAL-5-0342,5,5,1,,2,,,34,,,,
2019-PAL-5-0342,4,18,2,,,,,34,,,,
2019-PAL-5-0342,4,14,2,,,,,34,,,,
2019-PAL-5-0342,4,10,2,,3,,,34,,,,
2019-G2-3-0057-02,9,18,1,,1,6000,51,34,,,,
2019-PAL-6-0557-02,5,2,1,,,,,34,,,,
2019-PAL-6-0557-02,7,19,1,,2,,,34,,,,
2019-PAL-6-0557-02,2,33,1,,1,24000,5,34,,,,
2019-ISU-1-0364-02,1,34,1,,1,15000,5,34,,,,
2019-PAL-3-0128-02,13,83,2,,,,,34,,,,
2019-PAL-6-0097-02,4,6,2,,3,,26,34,,,,
2019-PAL4-6-0012-04,1,44,2,,3,,,34,,,,
2019-UW-6-0247-02,1,47,2,,1,15000,5,34,,,,
2019-ISU-1-0364-02,5,0,1,,,,,34,,,,
2019-UW-6-0251-02,2,44,1,,1,14000,5,34,,,,
2019-UW-6-0251-02,5,16,1,,2,,,34,,,,
2019-UW-6-0251-02,4,9,2,,,,,34,,,,
2019-PAL2-3-0051-02,2,42,1,,1,15000,22,34,,,,
2019-PAL2-3-0051-02,5,13,1,,,,,34,,,,
2019-PAL2-3-0051-02,5,14,1,,,,,34,,,,
2019-PAL2-3-0051-02,4,2,2,,,,,34,,,,
2019-PAL-4-0069,5,21,1,,1,20000,5,34,,,,
2019-PAL-4-0069,6,2,2,,,,,34,,,,
2019-PAL-4-0069,5,13,1,,,,,34,,,,
2019-PAL-4-0069,2,48,1,,1,11000,51,34,,,,
2019-PAL-1-0058-02,4,3,2,,,,,34,,,,
2019-PAL-1-0058-02,5,0,1,,,,,34,,,,
2019-PAL-1-0058-02,5,14,1,,,,,34,,,,
2019-PAL-1-0058-02,4,4,2,,,,,34,,,,
2019-PAL-6-0485,5,26,1,,1,30000,5,34,,,,
2019-PAL-6-0485,5,28,1,,1,32000,5,34,,,,
2019-PAL-6-0485,2,65,1,,1,6000,22,34,,,,
2019-PAL-6-0457-02,4,23,2,,1,6000,51,34,,,,
2019-PAL-6-0457-02,5,22,1,,2,,,34,,,,
2019-PAL-6-0457-02,5,24,1,,2,,,34,,,,
2019-PAL-6-0457-02,2,55,1,,1,5000,26,34,,,,
2019-PAL3-6-0007,1,39,2,,1,12000,5,34,,,,
2019-WC-4-0244,2,50,2,,1,12000,5,34,,,,
2019-ISU-1-0484-02,1,33,2,,2,,,34,,,,
2019-PAL-1-0176-04,2,29,1,,2,,,34,,,,
2019-PAL4-3-0052-04,1,41,2,,2,,,34,,,,
2019-ISG-2-0158-03,2,43,1,,1,28000,5,34,,,,
2019-WC-4-0253,5,18,1,,2,,,34,,,,
2019-WC-4-0253,5,18,1,,2,,,34,,,,
2019-WC-4-0253,5,14,1,,,,,34,,,,
2019-WC-4-0253,5,7,1,,,,,34,,,,
2019-WC-4-0108-03,2,62,2,,2,,45,34,,,,
2019-UW-6-0021-02,3,27,2,,1,18000,5,34,,,,
2019-PAL-5-0221,5,29,1,,2,,,34,,,,
2019-G2-3-0101-03,5,16,1,,2,,,34,,,,
2019-G2-3-0101-03,5,23,1,,2,,,34,,,,
2019-G2-3-0101-03,5,13,1,,,,,34,,,,
2019-G2-3-0101-03,5,26,1,,1,10000,51,34,,,,
2019-G2-3-0101-03,2,49,1,,1,10000,51,34,,,,
2019-G2-3-0409-02,2,47,1,,1,10000,5,34,,,,
2019-G2-3-0500-02,5,11,1,,,,,34,,,,
2019-G2-3-0500-02,5,8,1,,,,,34,,,,
2019-G2-3-0500-02,5,5,1,,,,,34,,,,
2019-G2-3-0500-02,4,25,2,,1,12000,5,34,,,,
2019-G2-3-0500-02,4,23,2,,1,12000,5,34,,,,
2019-G2-3-0500-02,5,21,1,,1,12000,5,34,,,,
2019-G2-3-0500-02,2,52,1,,1,12000,22,34,,,,
2019-G2-3-0103-02,4,33,2,,3,,,34,,,,
2019-G2-3-0103-02,2,75,1,,1,16000,5,34,,,,
2019-G2-3-0193,2,41,1,,1,35000,26,34,,,,
2019-G2-3-0193,4,12,2,,,,,34,,,,
2019-G2-3-0193,4,15,2,,2,,,34,,,,
2019-G2-3-0409-02,5,18,1,,2,,,34,,,,
2019-G2-3-0409-02,4,20,2,,2,,,34,,,,
2019-G2-3-0409-02,4,23,2,,1,16000,5,34,,,,
2019-ISU-1-0134-03,1,58,2,,2,,,34,,,,
2019-G2-3-0128-02,1,28,2,,2,,,34,,,,
2019-PAL2-6-0003-02,5,4,1,,,,,34,,,,
2019-PAL2-6-0003-02,2,41,1,,1,13000,5,34,,,,
2019-ISG-6-0014,2,57,2,,1,15000,22,34,,,,
2019-UW-6-0031,2,27,2,,1,17000,5,34,,,,
2019-UW-6-0031,13,59,1,,2,,,34,,,,
2019-WC-3-0105-03,4,3,2,,,,,34,,,,
2019-WC-3-0105-02,2,24,1,,1,12000,51,34,,,,
2019-ISU-1-0075,2,52,1,,1,20000,5,34,,,,
2019-ISU-1-0075,5,20,1,,2,,,34,,,,
2019-ISU-1-0075,4,28,2,,1,40000,26,34,,,,
2019-ISU-1-0075,4,26,2,,1,12000,5,34,,,,
2019-PAL4-3-0059-04,1,31,2,,2,,,34,,,,
2019-G2-3-0549-02,4,12,2,,,,,34,,,,
2019-G2-3-0549-02,5,7,1,,,,,34,,,,
2019-ISU-1-0091-02,1,34,2,,1,28000,5,34,,,,
2019-UW-6-0070,5,15,1,,2,,,34,,,,
2019-UW-6-0070,4,19,2,,2,,,34,,,,
2019-UW-6-0070,4,20,2,,3,,,34,,,,
2019-PAL-6-0426,3,58,2,,2,,,34,,,,
2019-PAL-1-0156-02,2,37,1,,1,15000,5,34,,,,
2019-WC-4-0005,5,23,1,,1,18000,5,34,,,,
2019-PAL-6-0560,1,34,1,,1,20000,22,34,,,,
2019-PAL-6-0560,4,7,2,,,,,34,,,,
2019-G2-3-0232-03,2,28,2,,2,,,34,,,,
2019-PAL-4-0060,4,14,2,,1,20000,6,34,,,,
2019-PAL-6-0085-03,2,35,1,,,,,34,,,,
2019-PAL-6-0085-03,4,4,2,,2,,,34,,,,
2019-UW-1-0279-03,1,25,2,,2,,,34,,,,
2019-PAL-3-0040,1,53,2,,1,6000,22,34,,,,
2019-PAL2-1-0002,1,50,1,,1,12000,5,34,,,,
2019-PAL2-1-0002,4,20,2,,,,,34,,,,
2019-PAL2-1-0002,4,9,2,,2,,,34,,,,
2019-PAL2-1-0002,4,23,2,,,,,34,,,,
2019-PAL2-1-0002,4,14,2,,,,,34,,,,
2019-PAL2-1-0002,4,13,2,,,,,34,,,,
2019-WC-6-0049-03,2,43,1,,1,18000,5,34,,,,
2019-UW-1-0288,5,20,1,,1,15000,15,34,,,,
2019-UW-1-0288-02,4,4,2,,,,,34,,,,
2019-UW-1-0288-02,4,20,2,,2,,,34,,,,
2019-UW-1-0288-05,5,8,1,,,,,34,,,,
2019-UW-1-0288,4,17,2,,2,,,34,,,,
2019-PAL5-4-0015,2,40,1,,1,13000,5,34,,,,
2019-PAL5-4-0015,5,10,1,,,,,34,,,,
2019-ISG-4-0143-02,1,43,2,,1,18000,5,34,,,,
2019-ISU-1-0031,5,19,1,,2,,,34,,,,
2019-ISU-1-0031,4,17,2,,2,,,34,,,,
2019-ISU-1-0031,5,14,1,,,,,34,,,,
2019-ISU-1-0031,5,15,1,,2,,,34,,,,
2019-ISU-1-0070,1,68,2,,,,,34,,,,
2019-ISU-1-0031,4,11,2,,1,20000,8,34,,,,
2019-PAL-6-0172,1,54,2,,2,,,34,,,,
2019-PAN-2-0567,5,19,1,,3,,,34,,,,
2019-G2-3-0611-03,1,35,2,,1,5000,22,34,,,,
2019-PAL-6-0015-05,5,5,1,,,,,34,,,,
2019-PAL-6-0015-05,2,28,1,,1,10000,22,34,,,,
2019-ISG-4-0034,2,62,2,,2,,,34,,,,
2019-UW-6-0021-02,2,30,1,,1,13000,5,34,,,,
2019-UW-6-0021-02,5,3,1,,,,,34,,,,
2019-PAL-5-0004-04,1,41,2,,1,27000,5,34,,,,
2019-ISU-1-0258,2,78,2,,3,,,34,,,,
2019-G2-3-0125,1,59,2,,2,,,34,,,,
2019-G2-3-0545-02,2,56,1,,1,14300,51,34,,,,
2019-WC-4-0532-03,1,28,2,,2,,,34,,,,
2019-G2-3-0203,5,17,1,,2,,,34,,,,
2019-G2-3-0203,4,0,2,,,,,34,,,,
2019-G2-3-0203,5,4,1,,,,,34,,,,
2019-G2-3-0203,5,13,1,,,,,34,,,,
2019-G2-3-0203,2,41,1,,1,29000,5,34,,,,
2019-UW-6-0173,2,39,1,,1,16000,5,34,,,,
2019-UW-6-0173,4,13,2,,,,,34,,,,
2019-G2-3-0549-02,4,16,2,,2,,,34,,,,
2019-G2-3-0549-02,1,42,2,,2,,,34,,,,
2019-UW-6-0045,5,23,1,,1,16000,5,34,,,,
2019-UW-6-0045,4,26,2,,1,14000,5,34,,,,
2019-UW-6-0045,6,16,1,,2,,,34,,,,
2019-G2-3-0549-02,4,15,2,,2,,,34,,,,
2019-PAL-5-0508,6,19,2,,1,12000,5,34,,,,
2019-PAL-6-0347-02,2,37,1,,1,7000,26,34,,,,
2019-UW-1-0130,2,49,2,,2,,,34,,,,
2019-PAN-2-0567,2,56,2,,1,22500,26,34,,,,
2019-PAL-3-0026-03,1,24,2,,2,,,34,,,,
2019-ISU-1-0442,5,18,1,,2,,,34,,,,
2019-PAL4-3-0038,1,20,2,,2,,,34,,,,
2019-PAL2-3-0005-02,5,2,1,,,,,34,,,,
2019-PAL2-3-0005-02,2,27,1,,1,14000,5,34,,,,
2019-PAN-2-0406,4,21,2,,2,,,34,,,,
2019-PAN-2-0406,5,20,1,,,,,34,,,,
2019-G2-3-0513-03,2,42,2,,1,9000,22,34,,,,
2019-UW-6-0155,5,28,1,,1,10000,26,34,,,,
2019-UW-6-0155,5,24,1,,1,25000,5,34,,,,
2019-UW-6-0155,5,8,1,,,,,34,,,,
2019-UW-6-0155,5,18,1,,2,,,34,,,,
2019-UW-6-0155-02,2,23,2,,1,18000,5,34,,,,
2019-UW-6-0155-02,4,3,2,,,,,34,,,,
2019-UW-6-0155,2,55,1,,3,,,34,,,,
2019-G2-3-0094,1,50,2,,1,9000,22,34,,,,
2019-PAL-3-0123-03,2,40,1,,1,30000,5,34,,,,
2019-PAL-3-0123-03,5,17,1,,2,,,34,,,,
2019-PAL-3-0123-03,4,10,2,,,,,34,,,,
2019-UW-6-0254-02,1,37,2,,1,10000,5,34,,,,
2019-PAL-6-0227-02,5,2,1,,,,,34,,,,
2019-ISG-1-0091,1,55,2,,2,,,34,,,,
2019-PAL3-3-0156-04,5,9,1,,,,,34,,,,
2019-PAL3-3-0156-04,5,3,1,,,,,34,,,,
2019-PAL3-3-0156-04,4,6,2,,1,1500,52,34,,,,
2019-PAL3-3-0156-04,4,12,2,,2,,,34,,,,
2019-PAL3-3-0156-04,5,9,1,,2,,,34,,,,
2019-PAL3-3-0156-04,4,11,2,,,,,34,,,,
2019-PAL-6-0421,1,42,2,,1,15000,22,34,,,,
2019-ISU-1-0084,2,34,2,,1,7500,5,34,,,,
2019-G2-3-0417,1,30,2,,1,36000,5,34,,,,
2019-UW-6-0290,6,16,1,,2,,,34,,,,
2019-G2-3-0631,1,48,2,,2,,,34,,,,
2019-ISU-1-0084,4,8,2,,,,,34,,,,
2019-ISU-1-0084,5,15,1,,2,,,34,,,,
2019-ISU-1-0084,5,14,1,,,,,34,,,,
2019-ISU-1-0084,1,38,1,,1,13000,51,34,,,,
2019-PAL2-6-0003-02,6,35,1,,,,,34,,,,
